segment,Tc,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,Round,mf,vpd,bark_thickness,E,water_content,RWC_end,LossFrac_end
022A,6.02279206,22,LS,0,69,10C,022A,0.78,0.12957564,4.885087735,0.069970845,1,0.993834928,0.626420321,0.6,0.030395865,0.00135587,0.996235769,0.003764231
022B,23.89764,22,LS,0,137,25C,022B,0.93,0.067872954,3.173754709,0.079365079,1,0.978165822,1.512002266,0.75,0.048428818,0.001419787,0.9905487,0.0094513
022C,31.89537083,22,LS,0,69,35C,022C,0.57,0.07846522,0.709735367,0.086350975,1,0.969253826,3.240398329,0.775,0.023423289,0.000213788,0.968702866,0.031297134
022D,38.76297872,22,LS,0,64,45C,022D,0.821,0.116040243,4.92570445,0.083773319,1,0.958093582,5.36011368,0.595,0.272035119,0.001639485,0.956196081,0.043803919
022E,54.08590936,22,LS,0,93,55C,022E,0.95,0.054587184,4.999170791,0.072886297,1,0.916719359,13.31592399,0.625,0.716841985,0.00147597,0.879265248,0.120734752
024A,6.197068931,24,LS,0.15,67,10C,024A,0.85,0.073429952,7.066893247,0.09057971,2,0.993900124,0.668143605,0.625,0.046897118,0.00174929,0.992655586,0.007344414
024B,24.36682436,24,LS,0.4,63.5,25C,024B,0.74,0.043808657,4.069109457,0.073800738,2,0.976929187,1.430477217,0.5,0.058817666,0.001700195,0.98026653,0.01973347
024C,32.34737304,24,LS,0.1,57.5,35C,024C,0.675,0.080961417,5.382104811,0.133333333,2,0.967972514,3.219778607,0.85,0.176728134,0.001939444,0.96300784,0.03699216
024D,41.05998483,24,LS,0.6,64.5,45C,024D,1.171428571,0.02734108,5.258598873,0.102040816,2,0.953087406,6.126161051,0.625,0.333669321,0.001845822,0.904568416,0.095431584
024E,55.22921433,24,LS,0.8,58,55C,024E,0.85,0.045235564,2.728774391,0.12145749,2,0.912650057,14.17306163,0.75,0.418328618,0.001855177,0.898336887,0.101663113
026A,6.200243198,26,LS,0.1,62,10C,026A,1.04,0.044705801,14.16717219,0.096100279,2,0.993868597,0.662720028,0.8625,0.093255586,0.000638182,0.926534507,0.073465493
026B,24.376256,26,LS,0.03,35,25C,026B,0.93,0.103896104,1.169872992,0.125454545,2,0.976937525,1.435598206,0.8625,0.016970529,0.000307527,0.981581798,0.018418202
026C,32.34328591,26,LS,0.3,55,35C,026C,0.87,0.026569423,1.290440837,0.080996885,2,0.96799608,3.222356078,0.65,0.042406124,0.000371965,0.950633936,0.049366064
026D,41.00532614,26,LS,0.9,66,45C,026D,0.76,0.010833004,8.131637257,0.100286533,2,0.953223186,6.107700218,0.875,0.514341618,0.000449674,0.811720698,0.188279302
026E,55.23081229,26,LS,0.2,56,55C,026E,0.82,0.04899079,2.945228225,0.086419753,2,0.912653399,14.17618737,0.7,0.451609509,0.000415839,0.769244902,0.230755098
