segment,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,Round,Tc
013E,13,MG,0,66,55C,013E,0.803,0.105552325,2.899922571,0.085808581,5,55.39890537
014A,14,CC,0.15,117,10C,014A,NA,NA,3.926749276,0.081566299,2,11.22398774
014B,14,CC,0.03,81,25C,014B,NA,NA,3.884152332,0.060478655,2,23.73254545
014C,14,CC,0.15,101,35C,014C,NA,NA,3.303046929,0.052126772,2,33.68701116
014D,14,CC,0.08,71,45C,014D,NA,NA,3.631275297,0.053626782,2,41.06259642
014E,14,CC,0.3,103,55C,014E,NA,NA,2.88788726,0.065331928,2,50.16387745
015A,15,CC,0.2,105,10C,015A,NA,NA,2.608922755,0.053308247,3,10.80747645
015B,15,CC,0.5,86,25C,015B,NA,NA,3.249483301,0.085362047,3,24.5279186
015C,15,CC,0.35,103,35C,015C,NA,NA,2.604720213,0.07984608,3,32.97181747
015D,15,CC,0.1,63,45C,015D,NA,NA,2.188588495,0.075147518,3,40.74091882
015E,15,CC,0.3,106,55C,015E,NA,NA,1.921423685,0.074903793,3,55.122915
016A,16,PE,0,56.5,10C,016A,NA,NA,7.036514826,0.126687847,1,11.05963482
016B,16,PE,0,36,25C,016B,NA,NA,7.022229043,0.192213366,1,23.93834624
016C,16,PE,0,53,35C,016C,NA,NA,3.545598601,0.110027855,1,32.20180256
016D,16,PE,0,43.5,45C,016D,NA,NA,5.774803815,0.13022306,1,40.11545284
016E,16,PE,0.1,61,55C,016E,NA,NA,3.558381402,0.097506234,1,55.11904737
017A,17,PE,0,93,10C,017A,NA,NA,4.252800739,0.084275066,2,11.19878711
017B,17,PE,0,64,25C,017B,NA,NA,3.707508598,0.093645017,2,23.72337769
017C,17,PE,0,72,35C,017C,NA,NA,3.398873424,0.113460183,2,33.60613968
017D,17,PE,0,49,45C,017D,NA,NA,2.898855389,0.103419093,2,41.07388084
017E,17,PE,0,62,55C,017E,NA,NA,4.923884985,0.073398216,2,47.58815432
018A,18,PE,0,70,10C,018A,NA,NA,4.067682182,0.100641417,3,10.83019252
018B,18,PE,0,66,25C,018B,NA,NA,5.075080035,0.088081306,3,24.53123516
018C,18,PE,0,44,35C,018C,NA,NA,2.62381681,0.113449088,3,32.90194637
018D,18,PE,0,54,45C,018D,NA,NA,4.784225135,0.107105263,3,40.7529625
018E,18,PE,0,59,55C,018E,NA,NA,4.127397569,0.087374335,3,55.12338231
019A,19,PE,0,72,10C,019A,NA,NA,4.03199168,0.111381454,4,10.62280091
019B,19,PE,0,58,25C,019B,NA,NA,3.483246132,0.129053828,4,23.30020222
019C,19,PE,0,64,35C,019C,NA,NA,2.57031283,0.106356199,4,32.8588033
019D,19,PE,0,60,45C,019D,NA,NA,5.427915622,0.0955928,4,42.13856292
019E,19,PE,0,60,55C,019E,NA,NA,4.49893852,0.094228504,4,55.22897154
020A,20,PE,0,69,10C,020A,NA,NA,4.813615149,0.093361801,5,10.17942412
020B,20,PE,0.15,72,25C,020B,NA,NA,7.841633595,0.097618188,5,25.090456
020C,20,PE,0,80,35C,020C,NA,NA,3.812596865,0.112837838,5,33.33573874
020D,20,PE,0,74,45C,020D,NA,NA,7.655320864,0.105147059,5,40.079437
020E,20,PE,0,78,55C,020E,NA,NA,6.505245393,0.088570379,5,55.39943
021A,21,LS,0,55,10C,021A,1.237,0.067628099,6.196756462,0.093541848,2,11.27872628
021B,21,LS,0,61,25C,021B,1.342,0.037000391,10.23143547,0.074703121,2,23.74197917
021C,21,LS,0,43,35C,021C,1.292,0.070477301,7.672826398,0.080635754,2,33.79845667
021D,21,LS,0,46,45C,021D,1.366,0.147591936,6.056647936,0.096211366,2,41.04978415
021E,21,LS,0,62,55C,021E,1.442,0.053414187,6.75183737,0.068187884,2,54.67952567
022A,22,LS,0,51,10C,022A,1.146,0.087483405,8.672033743,0.078716318,3,10.85762428
022B,22,LS,0,76,25C,022B,1.122,0.097627478,9.855060844,0.072613459,3,24.5395697
022C,22,LS,0,46,35C,022C,0.696,0.21222329,5.07383802,0.066237542,3,32.75991131
022D,22,LS,0,47,45C,022D,0.786,0.077546555,3.480671314,0.102969166,3,40.80015464
022E,22,LS,0,57,55C,022E,0.768,0.102559743,6.502072686,0.093952484,3,55.12986677
023A,23,MG,0,53,10C,023A,1.245,0.045524083,4.244220905,0.0790938,1,10.67001341
023B,23,MG,0.02,46,25C,023B,1.227,0.070762076,8.664753928,0.08698922,1,23.89764188
