segment,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,diam,Round,Tc,mf,vpd,E,bark_thickness,water_content,RWC_end,LossFrac_end,RWC_end_sat
007B,7,TD,0.1,74,25C,007B,NA,NA,5.997471592,0.098712446,7.5725,1,23.928466,0.976969843,1.280753018,0.077614521,0.7475,0.001659514,0.968335104,0.031664896,0.724179635
007C,7,TD,0,117,35C,007C,1.598,0.020059538,4.065825452,0.088902292,10.3625,1,32.20041402,0.967787989,3.10149863,0.128626559,0.92125,0.001590677,0.961094885,0.038905115,0.703011915
007D,7,TD,0.3,67,45C,007D,0.9775,0.011759563,5.791888549,0.093184687,5.9425,1,40.22314606,0.95446916,5.754316498,0.344701042,0.55375,0.001775857,0.85502563,0.14497437,0.712407668
007E,7,TD,0.25,116,55C,007E,1.244,0.011740622,4.830637007,0.093004338,9.22,1,55.11904737,0.912856125,14.04728682,0.733812448,0.8575,0.001540492,0.823568311,0.176431689,0.566784376
008A,8,MG,0,38,10C,008A,1.022,0.049407399,8.01967243,0.120190671,7.3425,2,11.21274917,0.991049065,0.8518141,0.068045099,0.8825,0.001498591,0.959311965,0.040688035,0.665684277
008B,8,MG,0.2,42,25C,008B,1.285,0.056538701,7.351384104,0.10923913,9.2,2,23.73020965,0.976543237,1.123511145,0.083492137,1.005,0.001447607,0.965752339,0.034247661,0.66916404
008C,8,MG,0,42,35C,008C,1.272,0.050867384,4.228344515,0.104313824,9.91,2,33.6623727,0.965124399,3.388375252,0.146544366,1.03375,0.001378042,0.937140291,0.062859709,0.578704247
008D,8,MG,0.03,49,45C,008D,1.14,0.0571327,6.5777991,0.107603093,7.76,2,41.06609124,0.952068463,5.982675167,0.408035927,0.835,0.001631417,0.818726158,0.181273842,0.644094029
008E,8,MG,0.03,65,55C,008E,1.249,0.067421649,3.504404668,0.080063208,9.4925,2,47.97967853,0.926974186,10.91171582,0.407221043,0.76,0.001381625,0.868449949,0.131550051,0.574381037
009A,9,TD,0.2,86,10C,009A,1.117,0.039772845,5.98625197,0.087122368,8.1925,2,11.24009543,0.990959322,0.838564185,0.050006451,0.71375,0.001585786,0.97933474,0.02066526,0.717313661
009B,9,TD,0.2,61,25C,009B,1.231,0.019320311,7.480646793,0.069366197,7.1,2,23.73456604,0.976563456,1.129166697,0.085386123,0.4925,0.00143003,0.960724616,0.039275384,0.611027017
009C,9,TD,0.2,63,35C,009C,1.55,0.012267036,6.906127034,0.112485042,6.2675,2,33.74141118,0.965041448,3.417405638,0.241421355,0.705,0.001786313,0.897005113,0.102994887,0.726012868
009D,9,TD,0.05,60,45C,009D,1.355,0.035176308,4.765329292,0.092879963,5.4775,2,41.05773772,0.952119749,5.993643001,0.296130247,0.50875,0.001584598,0.799860934,0.200139066,0.601873675
009E,9,TD,0.1,116,55C,009E,1.425,0.024806832,3.183535246,0.060805577,9.6825,2,50.65172606,0.921390985,12.02292333,0.410077873,0.58875,0.001422782,0.845377814,0.154622186,0.538871127
010A,10,TD,0.15,67,10C,010A,1.247,0.054688026,5.050146138,0.087537651,6.64,3,10.88005432,0.991565291,0.897642514,0.045131171,0.58125,0.001195007,0.968877711,0.031122289,0.529437139
010B,10,TD,0.1,44,25C,010B,1.362,0.026303344,12.12609275,0.081196581,6.435,3,24.53175686,0.975690025,1.240368242,0.152177419,0.5225,0.001679521,0.938951078,0.061048922,0.698092906
010C,10,TD,0.08,58,35C,010C,1.595,0.031764671,3.795063135,0.085384916,6.3975,3,32.68141087,0.966444825,3.106858948,0.120435365,0.54625,0.001258264,0.930549577,0.069450423,0.517453821
010D,10,TD,0.3,67,45C,010D,2.07,0.002365513,4.666785729,0.089622642,6.625,3,40.80432525,0.952720938,5.837172144,0.282257316,0.59375,0.001196432,0.860689984,0.139310016,0.459967445
010E,10,TD,0.1,66,55C,010E,1.766666667,0.009695943,5.369684264,0.085869974,6.6525,3,55.122915,0.911900257,13.85970758,0.8056493,0.57125,0.001498687,0.704486515,0.295513485,0.487700742
011A,11,TD,0,112,10C,011A,NA,NA,4.014296297,0.054812834,9.35,5,10.24989453,0.991859554,0.850280849,0.033971302,0.5125,0.001660938,0.993301322,0.006698678,0.718176388
011B,11,TD,0.02,107,25C,011B,NA,NA,4.914956846,0.077464789,10.1175,5,25.21858333,0.975117246,1.386841749,0.069004964,0.78375,0.00145692,0.983703342,0.016296658,0.642116883
011C,11,TD,0,80,35C,011C,NA,NA,2.496618511,0.097672894,7.6275,5,33.57036946,0.965519954,3.439374242,0.087793209,0.745,0.001685236,0.972484544,0.027515456,0.709047644
011D,11,TD,0.4,82,45C,011D,NA,NA,2.220380467,0.071518987,7.9,5,39.87834944,0.954680752,5.506098962,0.126416511,0.565,0.001286457,0.942278148,0.057721852,0.528614162
011E,11,TD,0.4,79,55C,011E,NA,NA,3.248840311,0.081145207,7.9025,5,55.39607471,0.910977679,14.08962475,0.496033046,0.64125,0.001641716,0.885073427,0.114926573,0.615409487
012A,12,TD,0.15,70,10C,012A,1.17,0.015722974,8.855197489,0.095441595,7.8975,4,10.74341919,0.991364725,0.838126164,0.073903455,0.75375,0.001525147,0.97310939,0.02689061,0.673019329
012B,12,TD,0,75,25C,012B,1.16875,0.012077223,9.16819029,0.076651264,9.1975,4,23.32133256,0.97724844,1.123897216,0.10408683,0.705,0.001704336,0.974228591,0.025771409,0.740192049
012C,12,TD,0,69,35C,012C,0.853333333,0.00900059,4.937976768,0.076243094,9.05,4,32.95128256,0.966464937,3.2639103,0.164623454,0.69,0.00159816,0.942665118,0.057334882,0.663238855
012D,12,TD,0,49,45C,012D,NA,NA,4.949958341,0.074696707,7.2125,4,42.21597305,0.949966901,6.551018132,0.336970922,0.53875,0.001521544,0.896984416,0.103015584,0.588772158
012E,12,TD,0.02,60,55C,012E,1.242,0.009653358,8.375890921,0.08515999,9.9225,4,55.21609293,0.911937099,14.00878857,1.270156585,0.845,0.001761216,0.789252729,0.210747271,0.574795931
013A,13,MG,0,57,10C,013A,0.872,0.052663163,2.302740701,0.102305896,8.565,5,10.21058253,0.991907655,0.853530778,0.019560661,0.87625,0.00136816,0.990627645,0.009372355,0.615851823
013B,13,MG,0.05,24,25C,013B,0.904,0.087304271,4.28107185,0.098929708,8.6425,5,25.14360104,0.975213015,1.37814445,0.059722547,0.855,0.001669925,0.978138121,0.021861879,0.743777298
013C,13,MG,0,55,35C,013C,0.817,0.068637087,2.425704183,0.097002944,9.3425,5,33.41999156,0.965748973,3.404582874,0.084416637,0.90625,0.001315777,0.965918417,0.034081583,0.556074755
013D,13,MG,0,48,45C,013D,0.861,0.083162355,1.408287288,0.099218532,8.9575,5,39.95695484,0.954535188,5.540246571,0.08068986,0.88875,0.00132011,0.966297053,0.033702947,0.564887037
013E,13,MG,0,66,55C,013E,0.803,0.105552325,2.641861863,0.085808581,9.8475,5,55.39890537,0.911011173,14.10072634,0.403662533,0.845,0.001394565,0.891666972,0.108333028,0.5766449
014A,14,CC,0.15,117,10C,014A,NA,NA,3.891454723,0.081566299,8.8425,2,11.22398774,0.991011763,0.84628627,0.032805074,0.72125,0.001289116,0.986850314,0.013149686,0.705101736
014B,14,CC,0.03,81,25C,014B,NA,NA,3.793078038,0.060478655,7.73,2,23.73254545,0.976552337,1.126189617,0.04318156,0.4675,0.00112032,0.971836104,0.028163896,0.542922097
014C,14,CC,0.15,101,35C,014C,NA,NA,3.187768615,0.052126772,8.9925,2,33.68701116,0.965099402,3.397602297,0.110784204,0.46875,0.001083616,0.938527085,0.061472915,0.513184383
014D,14,CC,0.08,71,45C,014D,NA,NA,3.457287404,0.053626782,8.065,2,41.06259642,0.952086284,5.985706395,0.214568093,0.4325,0.00169223,0.906323509,0.093676491,0.898543533
014E,14,CC,0.3,103,55C,014E,NA,NA,2.663815743,0.065331928,9.49,2,50.16387745,0.922409881,11.82018201,0.336972883,0.62,0.001083921,0.865878624,0.134121376,0.473215518
015A,15,CC,0.2,105,10C,015A,NA,NA,2.586709149,0.053308247,7.9725,3,10.80747645,0.991485525,0.868972654,0.022379887,0.425,0.001147019,0.992828407,0.007171593,0.608531142
